CATEGORY,TEXT,LINK
Lietuvoje,Garsiam profesoriui – neigiamas teismo sprendimas: prestižinėje vietoje griuvo neteisėta tvora,https://www.delfi.lt/news/daily/lithuania/garsiam-profesoriui-neigiamas-teismo-sprendimas-prestizineje-vietoje-griuvo-neteiseta-tvora.d?id=91597515
Užsienyje,Erdoganas: Scholzas pakeitė požiūrį į Putiną,https://www.delfi.lt/news/daily/world/erdoganas-scholzas-pakeite-poziuri-i-putina.d?id=91648923
Lietuvoje,Po Turkijos įsikišimo Putinui teko praryti nuoskaudą ir nusileisti,https://www.delfi.lt/news/daily/lithuania/po-turkijos-isikisimo-putinui-teko-praryti-nuoskauda-ir-nusileisti.d?id=91648355
Lietuvoje,"Paleckio bendražygio išpuolis Antakalnio kapinėse: policija vertina, ar pradėti tyrimą",https://www.delfi.lt/news/daily/lithuania/paleckio-bendrazygio-ispuolis-antakalnio-kapinese-policija-vertina-ar-pradeti-tyrima.d?id=91649003
Lietuvoje,Šimonytė – apie į skandalą patekusią Bilotaitę: man ši situacija „gana aiški“,https://www.delfi.lt/news/daily/lithuania/simonyte-apie-i-skandala-patekusia-bilotaite-man-si-situacija-gana-aiski.d?id=91648555
Verslas,"Šildymo, geriamojo ir karšto vandens išlaidų kompensacijos: ką būtina žinoti, norint jas gauti",https://www.delfi.lt/verslas/mano-eurai/sildymo-geriamojo-ir-karsto-vandens-islaidu-kompensacijos-ka-butina-zinoti-norint-jas-gauti.d?id=91649311
Užsienyje,Karas Ukrainoje. Zelenskis: Rusijos šantažas nuėjo perniek,https://www.delfi.lt/news/daily/world/karas-ukrainoje-zelenskis-rusijos-santazas-nuejo-perniek.d?id=91648163
Verslas,"Ukrainos ekonomika be paramos neišsivers: JAV ir Europa ruošiasi skirti po 1,5 mlrd. dolerių kas mėnesį",https://www.delfi.lt/verslas/verslas/ukrainos-ekonomika-be-paramos-neissivers-jav-ir-europa-ruosiasi-skirti-po-1-5-mlrd-doleriu-kas-menesi.d?id=91622721
Pilietis,"Pastebėjo, kaip gudrauja perkantys valstybinius automobilių numerius: užsidirba net trigubai",https://www.delfi.lt/pilietis/naujienos/pastebejo-kaip-gudrauja-perkantys-valstybinius-automobiliu-numerius-uzsidirba-net-trigubai.d?id=91603841
Veidai,"LRT palikusi Edita Mildažytė grįžta į ekranus: esame tiesiog žmonės – mylintys, klystantys ir visuomet trokštantys laimės",https://www.delfi.lt/veidai/eteris/lrt-palikusi-edita-mildazyte-grizta-i-ekranus-esame-tiesiog-zmones-mylintys-klystantys-ir-visuomet-trokstantys-laimes.d?id=91648237
Kriminalai ir nelaimės,Neįtikėtinas vyro siautėjimas Klaipėdoje: apgadino 4 automobilius bei pavogtu benzinvežiu rėžėsi į dvi policijos mašinas,https://www.delfi.lt/news/daily/crime/neitiketinas-vyro-siautejimas-klaipedoje-apgadino-4-automobilius-bei-pavogtu-benzinveziu-rezesi-i-dvi-policijos-masinas.d?id=91648583
Būstas,"Šykštumas namuose gali virsti ne tik dar didesnėmis išlaidomis: darbai, kurių neatlikus, kyla pavojus jūsų sveikatai ir net gyvybei",https://www.delfi.lt/bustas/patarimai/sykstumas-namuose-gali-virsti-ne-tik-dar-didesnemis-islaidomis-darbai-kuriu-neatlikus-kyla-pavojus-jusu-sveikatai-ir-net-gyvybei.d?id=91637861
Multimedija,Gydytoja dietologė davė auksinį patarimą: jei taip kalbėsite nutukusiam žmogui – laukia daug sunkesnės pasekmės,https://www.delfi.lt/multimedija/pagalba-sau/gydytoja-dietologe-dave-auksini-patarima-jei-taip-kalbesite-nutukusiam-zmogui-laukia-daug-sunkesnes-pasekmes.d?id=91508227
Login,Rusijos parduotuvėse imamasi pardavinėti „svetimus“ telefonus: kartais net kištukai netinka,https://www.delfi.lt/login/technologijos/naujienos/rusijos-parduotuvese-imamasi-pardavineti-svetimus-telefonus-kartais-net-kistukai-netinka.d?id=91636217
Veidai,Slapta susituokė Mis Argentina ir Mis Puerto Rikas,https://www.delfi.lt/veidai/uzsienio-zvaigzdes/slapta-susituoke-mis-argentina-ir-mis-puerto-rikas.d?id=91648645
Mokslas,Paaiškėjo tragiška kilmingos austrų šeimos vaiko mirties priežastis: mažylį pražudė kvailas aristokratų įprotis,https://www.delfi.lt/mokslas/mokslas/paaiskejo-tragiska-kilmingos-austru-seimos-vaiko-mirties-priezastis-mazyli-prazude-kvailas-aristokratu-iprotis.d?id=91647957
Sveikata,"Kėlimosi laikas gali nulemti jūsų sveikatą ir medžiagų apykaitą: tyrimas parodė, kas riebalus degina sparčiau",https://www.delfi.lt/sveikata/zinoti-sveika/kelimosi-laikas-gali-nulemti-jusu-sveikata-ir-medziagu-apykaita-tyrimas-parode-kas-riebalus-degina-sparciau.d?id=91624143
Užsienyje,Karas Ukrainoje. Žiniasklaida: rusų generolai be Putino tarėsi dėl branduolinio ginklo panaudojimo,https://www.delfi.lt/news/daily/world/karas-ukrainoje-ziniasklaida-rusu-generolai-be-putino-taresi-del-branduolinio-ginklo-panaudojimo.d?id=91645819
Verslas,"Lietuva importuoja didžiąją dalį elektros, nors galėtų pasigaminti beveik visą: paaiškino, kodėl taip yra",https://www.delfi.lt/verslas/energetika/lietuva-importuoja-didziaja-dali-elektros-nors-galetu-pasigaminti-beveik-visa-paaiskino-kodel-taip-yra.d?id=91623701
Užsienyje,ES skambina pavojaus varpais: nerimą kelia duomenys iš Rusijos kaimynių – pokytis staigus ir netikėtas,https://www.delfi.lt/news/daily/world/es-skambina-pavojaus-varpais-nerima-kelia-duomenys-is-rusijos-kaimyniu-pokytis-staigus-ir-netiketas.d?id=91634229
Užsienyje,„Niekam neįdomu“: laidos dalyvių komentarai apstulbino Kremliaus propagandistus,https://www.delfi.lt/news/daily/world/niekam-neidomu-laidos-dalyviu-komentarai-apstulbino-kremliaus-propagandistus.d?id=91639033
Lietuvoje,Šimonytė apie į skandalą patekusią Bilotaitę: man ši situacija „gana aiški“,https://www.delfi.lt/news/daily/lithuania/simonyte-apie-i-skandala-patekusia-bilotaite-man-si-situacija-gana-aiski.d?id=91648555
Lietuvoje,Rusijos strategija – vis žiauresnė: peržengta dar viena raudona linija,https://www.delfi.lt/news/daily/lithuania/rusijos-strategija-vis-ziauresne-perzengta-dar-viena-raudona-linija.d?id=91582111
Lietuvoje,"Sinoptikai skelbia, kokių orų tikėtis po Vėlinių: saulė džiugins tik dalį Lietuvos",https://www.delfi.lt/news/daily/lithuania/sinoptikai-skelbia-kokiu-oru-tiketis-po-veliniu-saule-dziugins-tik-dali-lietuvos.d?id=91648089
Lietuvoje,Jau dabar prognozuoja Šimonytės ultimatumą: į jį turės atsakyti visi valdantieji,https://www.delfi.lt/news/daily/lithuania/jau-dabar-prognozuoja-simonytes-ultimatuma-i-ji-tures-atsakyti-visi-valdantieji.d?id=91588647
Lietuvoje,"Iš Rusijos talžomos Ukrainos – įspėjimas: jei bus sukurtas precedentas, ji skriaus toliau",https://www.delfi.lt/news/daily/lithuania/is-rusijos-talzomos-ukrainos-ispejimas-jei-bus-sukurtas-precedentas-ji-skriaus-toliau.d?id=91595609
Lietuvoje,"Paleckio bendražygio išpuolis Antakalnio kapinėse: policija vertina, ar pradėti tyrimą",https://www.delfi.lt/news/daily/lithuania/paleckio-bendrazygio-ispuolis-antakalnio-kapinese-policija-vertina-ar-pradeti-tyrima.d?id=91649003
Lietuvoje,Šimonytė: į COVID-19 jau galima reaguoti kaip į gripą,https://www.delfi.lt/news/daily/lithuania/simonyte-i-covid-19-jau-galima-reaguoti-kaip-i-gripa.d?id=91649087
Lietuvoje,Ukrainiečius žeminusiam ir karą palaikiusiam vyrui prokurorai siūlo priverstinį gydymą,https://www.delfi.lt/news/daily/lithuania/ukrainiecius-zeminusiam-ir-kara-palaikiusiam-vyrui-prokurorai-siulo-priverstini-gydyma.d?id=91649071
Lietuvoje,"Per parą Lietuvoje – 32 nauji koronaviruso atvejai, mirė vienas žmogus",https://www.delfi.lt/news/daily/lithuania/per-para-lietuvoje-32-nauji-koronaviruso-atvejai-mire-vienas-zmogus.d?id=91649017
Lietuvoje,Premjerė: dvejonės dėl Vokietijos brigados perkėlimo į Lietuvą – nesusišnekėjimas,https://www.delfi.lt/news/daily/lithuania/premjere-dvejones-del-vokietijos-brigados-perkelimo-i-lietuva-nesusisnekejimas.d?id=91648663
Lietuvoje,Po Turkijos įsikišimo Putinui teko praryti nuoskaudą ir nusileisti,https://www.delfi.lt/news/daily/lithuania/po-turkijos-isikisimo-putinui-teko-praryti-nuoskauda-ir-nusileisti.d?id=91648355
Lietuvoje,Anušauskas nesutinka su Kasčiūnu: NATO biudžeto skaičiavimai nėra prijungiami prie gynybos biudžeto,https://www.delfi.lt/news/daily/lithuania/anusauskas-nesutinka-su-kasciunu-nato-biudzeto-skaiciavimai-nera-prijungiami-prie-gynybos-biudzeto.d?id=91648605
Lietuvoje,"Tyrimas apie baltarusių migrantus Lietuvoje: apie 70 proc. turi nuolatines pajamas, o labiausiai trūksta kalbos kursų",https://www.delfi.lt/news/daily/lithuania/tyrimas-apie-baltarusiu-migrantus-lietuvoje-apie-70-proc-turi-nuolatines-pajamas-o-labiausiai-truksta-kalbos-kursu.d?id=91648591
Lietuvoje,Lietuvos pasieniečiai per parą apgręžė 21 neteisėtą migrantą,https://www.delfi.lt/news/daily/lithuania/lietuvos-pasienieciai-per-para-apgreze-21-neteiseta-migranta.d?id=91648585
Lietuvoje,"Landsbergis siūlo dėl užsienio politikos susitarti po rinkimų, opozicija – skeptiška",https://www.delfi.lt/news/daily/lithuania/landsbergis-siulo-del-uzsienio-politikos-susitarti-po-rinkimu-opozicija-skeptiska.d?id=91648235
Lietuvoje,"Seimas balsuos, kad teisėjo pensija būtų skiriama ir atleidus dėl sveikatos būklės",https://www.delfi.lt/news/daily/lithuania/seimas-balsuos-kad-teisejo-pensija-butu-skiriama-ir-atleidus-del-sveikatos-bukles.d?id=91648161
Lietuvoje,"Siūlo griežtinti gyvūnų laikymo taisykles: uždrausti rišti šunis, pančioti arklius ar rišti už ragų karves",https://www.delfi.lt/news/daily/lithuania/siulo-grieztinti-gyvunu-laikymo-taisykles-uzdrausti-risti-sunis-pancioti-arklius-ar-risti-uz-ragu-karves.d?id=91572731
Lietuvoje,Nemokamos vietos kolumbariume kol kas gali tikėtis ne visų savivaldybių gyventojai,https://www.delfi.lt/news/daily/lithuania/nemokamos-vietos-kolumbariume-kol-kas-gali-tiketis-ne-visu-savivaldybiu-gyventojai.d?id=91647305
Lietuvoje,"Ukmergės politikai pritarė sovietų kario skulptūros iškėlimui, bet „Vėliavnešiai“ liks",https://www.delfi.lt/news/daily/lithuania/ukmerges-politikai-pritare-sovietu-kario-skulpturos-iskelimui-bet-veliavnesiai-liks.d?id=91647151
Lietuvoje,Lietuva – globalios kibernetinės iniciatyvos lyderė,https://www.delfi.lt/news/daily/lithuania/lietuva-globalios-kibernetines-iniciatyvos-lydere.d?id=91647197
Lietuvoje,Ar Vėgėlė taps naujuoju gelbėtoju: tai gali būti didelis jo ir Nausėdos planas,https://www.delfi.lt/news/daily/lithuania/ar-vegele-taps-naujuoju-gelbetoju-tai-gali-buti-didelis-jo-ir-nausedos-planas.d?id=91585889
Lietuvoje,"Ekspertas – apie tai, kodėl Iranas padeda Rusijai: žinant istoriją, tai neturėtų stebinti",https://www.delfi.lt/news/daily/lithuania/ekspertas-apie-tai-kodel-iranas-padeda-rusijai-zinant-istorija-tai-neturetu-stebinti.d?id=91570719
Lietuvoje,Kapinių tvarkymo mados: specialistai sutaria vienbalsiu – kuo daugiau natūralumo,https://www.delfi.lt/news/daily/lithuania/kapiniu-tvarkymo-mados-specialistai-sutaria-vienbalsiu-kuo-daugiau-naturalumo.d?id=91531599
Lietuvoje,Šį miestą vadina mažuoju Mariupoliu: rusų okupaciją pergyvenę žmonės – apie kankinimus ir sugriautus gyvenimus,https://www.delfi.lt/news/daily/lithuania/si-miesta-vadina-mazuoju-mariupoliu-rusu-okupacija-pergyvene-zmones-apie-kankinimus-ir-sugriautus-gyvenimus.d?id=91535341
Lietuvoje,"Per parą šalyje – 36 koronaviruso atvejai, mirčių nefiksuota",https://www.delfi.lt/news/daily/lithuania/per-para-salyje-36-koronaviruso-atvejai-mirciu-nefiksuota.d?id=91646149
Lietuvoje,Kokias gėles patartina nešti į kapus: tinka ne tik chrizantemos,https://www.delfi.lt/news/daily/lithuania/kokias-geles-patartina-nesti-i-kapus-tinka-ne-tik-chrizantemos.d?id=91616775
Lietuvoje,"Atmintinas dienas siūloma skirti genocido Ukrainoje aukoms, Lietuvos žydų gelbėtojams ir kai kurių profesijų atstovams",https://www.delfi.lt/news/daily/lithuania/atmintinas-dienas-siuloma-skirti-genocido-ukrainoje-aukoms-lietuvos-zydu-gelbetojams-ir-kai-kuriu-profesiju-atstovams.d?id=91646103
Lietuvoje,"Ministerija pratęsė rinkimų komisijų narių paieškas, VRK sako, kad procesas sklandus",https://www.delfi.lt/news/daily/lithuania/ministerija-pratese-rinkimu-komisiju-nariu-paieskas-vrk-sako-kad-procesas-sklandus.d?id=91646079
Lietuvoje,Per praėjusią parą pasieniečiai apgręžė 49 neteisėtus migrantus,https://www.delfi.lt/news/daily/lithuania/per-praejusia-para-pasienieciai-apgreze-49-neteisetus-migrantus.d?id=91646077
Melas,"Melagingai gąsdina, kad dalis nuo COVID-19 ligos paskiepytų vaikų mirs po 5 metų",https://www.delfi.lt/news/melo-detektorius/melas/melagingai-gasdina-kad-dalis-nuo-covid-19-ligos-paskiepytu-vaiku-mirs-po-5-metu.d?id=91643187
Melas,Įprasta procedūra gimus kūdikiui apipinta sąmokslo teorijomis: neva naujagimių duomenys siunčiami į Vatikaną,https://www.delfi.lt/news/melo-detektorius/melas/iprasta-procedura-gimus-kudikiui-apipinta-samokslo-teorijomis-neva-naujagimiu-duomenys-siunciami-i-vatikana.d?id=91642627
Iš dalies melas,Kadrus iš suaugusiems skirto mokamo renginio pavadino įprastais priešpiečiais šeimos restorane,https://www.delfi.lt/news/melo-detektorius/is-dalies-melas/kadrus-is-suaugusiems-skirto-mokamo-renginio-pavadino-iprastais-priespieciais-seimos-restorane.d?id=91642197
Melas,Netikėkite: melagienų kūrėjai platina alternatyvią istoriją apie įsilaužimą į Pelosi namus,https://www.delfi.lt/news/melo-detektorius/melas/netikekite-melagienu-kurejai-platina-alternatyvia-istorija-apie-isilauzima-i-pelosi-namus.d?id=91640223
Melas,"Ne, Kanadoje dėl COVID-19 vakcinos nemirė 80 jaunų medikų",https://www.delfi.lt/news/melo-detektorius/melas/ne-kanadoje-del-covid-19-vakcinos-nemire-80-jaunu-mediku.d?id=91638083
Melas,Skelbia melą apie oficialų tyrimą ir COVID-19 viruso kilmę,https://www.delfi.lt/news/melo-detektorius/melas/skelbia-mela-apie-oficialu-tyrima-ir-covid-19-viruso-kilme.d?id=91635531
Melas,"Platina melą apie neva mįslingai mirusio „Nord Stream“ sprogimų tyrėjo, pažadėjusio atskleisti tiesą, mirtį",https://www.delfi.lt/news/melo-detektorius/melas/platina-mela-apie-neva-mislingai-mirusio-nord-stream-sprogimu-tyrejo-pazadejusio-atskleisti-tiesa-mirti.d?id=91632273
Iš dalies melas,"Pateikė sąrašą neva įrodantį, kad pasaulį valdo indai, tačiau ne visa jame pateikta informacija – teisinga",https://www.delfi.lt/news/melo-detektorius/is-dalies-melas/pateike-sarasa-neva-irodanti-kad-pasauli-valdo-indai-taciau-ne-visa-jame-pateikta-informacija-teisinga.d?id=91627539
Melas,"Macronas vaizdo įraše nerodė masonų simbolio, jo gestas reiškia ką kita",https://www.delfi.lt/news/melo-detektorius/melas/macronas-vaizdo-irase-nerode-masonu-simbolio-jo-gestas-reiskia-ka-kita.d?id=91627399
Melas,Internete plinta klastotė: skelbia apie aukcioną Rusijos menininkų darbams naikinti,https://www.delfi.lt/news/melo-detektorius/melas/internete-plinta-klastote-skelbia-apie-aukciona-rusijos-menininku-darbams-naikinti.d?id=91619641
Melas,"Tikina radę dėsningumų tarp ligų protrūkių pradžios datų, bet pateikiami skaičiai – klaidingi",https://www.delfi.lt/news/melo-detektorius/melas/tikina-rade-desningumu-tarp-ligu-protrukiu-pradzios-datu-bet-pateikiami-skaiciai-klaidingi.d?id=91614157
Melas,"Tikina, kad iki 2050 m. Latvijoje nebeliks gyventojų. Oficialios prognozės tai paneigia",https://www.delfi.lt/news/melo-detektorius/melas/tikina-kad-iki-2050-m-latvijoje-nebeliks-gyventoju-oficialios-prognozes-tai-paneigia.d?id=91613085
Vilnius,Kalėdų laikotarpiu sostinėje atsiras ledo čiuožykla,https://www.delfi.lt/miestai/vilnius/kaledu-laikotarpiu-sostineje-atsiras-ledo-ciuozykla.d?id=91567105
Panevėžys,Penkmečio planas Panevėžyje: turėtų iškilti 101 vėjo jėgainė,https://www.delfi.lt/miestai/panevezys/penkmecio-planas-panevezyje-turetu-iskilti-101-vejo-jegaine.d?id=91525301
